d,w,p,mapTrain,mapTest,hluTrain,hluTest
15,0.1,0.01,0.6851040715491985,0.2241462215931431,56.966973261292665,14.23514158544352
15,0.1,0.1,0.6833656692605485,0.23457495029151076,56.87638399054522,14.787578676150478
15,0.2,0.01,0.7364863814520068,0.2138499365304036,61.653323034847716,13.969960058764164
15,0.2,0.1,0.7320889802016585,0.21056429666700363,61.22924822140644,13.904036589023763
16,0.1,0.01,0.681469804433136,0.22985579623451177,57.231197273620936,14.487667509361616
16,0.1,0.1,0.6838099990625328,0.2248028651186825,56.93350699755994,14.338983932346045
16,0.2,0.01,0.742186957880581,0.21540189453936803,62.66542818617529,13.745532236374439
16,0.2,0.1,0.7395060630114277,0.21347412490591897,62.339905671412765,13.850478279344635
17,0.1,0.01,0.6886381391826999,0.21972908873386576,57.997559904792,14.186673092930494
17,0.1,0.1,0.6797054808791488,0.22952390781743218,57.30416080623352,14.499308231569543
17,0.2,0.01,0.7494472560098192,0.2086452751659758,63.30563412139909,13.369283692384831
17,0.2,0.1,0.7494062388165926,0.20484830485626673,63.14038853058377,13.533066836830129
18,0.1,0.01,0.6832397832137493,0.22867882137521203,57.9063644521253,14.304451752698375
18,0.1,0.1,0.6835566276915734,0.2213146912456891,57.69290251967598,14.384402206479448
18,0.2,0.01,0.7590471422901156,0.2032174311102124,64.2352985196836,13.037069488043162
18,0.2,0.1,0.7518311531874682,0.19500205714510385,63.74930181990956,12.965572051247545
19,0.1,0.01,0.6885633128280801,0.22292087222952403,58.78858499147702,14.043577898872156
19,0.1,0.1,0.6912641746759253,0.2184214535660926,58.93011568646821,13.720887352127221
19,0.2,0.01,0.7640324794893975,0.19741197806086339,64.94607793962692,12.657902209215202
19,0.2,0.1,0.7519818814429131,0.20966778159718708,64.40647308799312,13.32755014743556
20,0.1,0.01,0.6943772017437154,0.22370755821790858,59.19113080381393,13.807057136533011
20,0.1,0.1,0.687483461262149,0.2216590138060414,59.12660817160301,13.760342745572137
20,0.2,0.01,0.7623279114370447,0.20014661195924466,65.39032569920981,12.662473425883626
20,0.2,0.1,0.7604520281317685,0.19881434721800964,65.07294819337488,12.759938260122286
